drug_a,drug_b,severity,mechanism,reference
metformin,contrast_media,critical,"Risk of lactic acidosis with iodinated contrast","FDA Boxed Warning"
metformin,alcohol,high,"Increased risk of lactic acidosis","Clinical Pharmacology"
metformin,furosemide,moderate,"May decrease metformin clearance","Drug Interactions"
aspirin,warfarin,critical,"Increased bleeding risk due to antiplatelet + anticoagulant","FDA"
aspirin,ibuprofen,high,"Ibuprofen reduces cardioprotective effect of aspirin","NEJM"
aspirin,methotrexate,high,"Decreased methotrexate clearance, toxicity risk","Clinical Pharmacology"
aspirin,clopidogrel,moderate,"Dual antiplatelet therapy increases bleeding","ACC/AHA Guidelines"
warfarin,amiodarone,critical,"Markedly increased INR, bleeding risk","FDA"
warfarin,trimethoprim_sulfamethoxazole,critical,"Markedly increased INR","Clinical Pharmacology"
warfarin,fluconazole,high,"Increased warfarin levels, bleeding risk","FDA"
lisinopril,potassium_supplements,high,"Risk of hyperkalemia","FDA"
lisinopril,spironolactone,high,"Risk of hyperkalemia","Clinical Pharmacology"
lisinopril,ibuprofen,moderate,"Reduced antihypertensive effect, renal risk","Clinical Pharmacology"
atorvastatin,gemfibrozil,critical,"Severe rhabdomyolysis risk","FDA Boxed Warning"
atorvastatin,cyclosporine,high,"Increased statin levels, myopathy risk","Clinical Pharmacology"
atorvastatin,clarithromycin,high,"CYP3A4 inhibition increases statin levels","FDA"
metoprolol,verapamil,high,"Severe bradycardia, heart block","FDA"
metoprolol,clonidine,high,"Rebound hypertension on withdrawal","Clinical Pharmacology"
insulin,beta_blockers,moderate,"Masks hypoglycemia symptoms","ADA Guidelines"
insulin,thiazides,moderate,"May increase blood glucose","Clinical Pharmacology"
omeprazole,clopidogrel,moderate,"Reduced clopidogrel activation via CYP2C19","FDA"
omeprazole,digoxin,moderate,"Increased digoxin levels","Clinical Pharmacology"
furosemide,digoxin,high,"Hypokalemia increases digoxin toxicity","Clinical Pharmacology"
furosemide,aminoglycosides,high,"Increased ototoxicity risk","FDA"
prednisone,nsnsaids,high,"Increased GI bleeding risk","Clinical Pharmacology"
prednisone,anticoagulants,moderate,"Altered anticoagulant effect","Clinical Pharmacology"
digoxin,amiodarone,high,"Increased digoxin levels, toxicity","Clinical Pharmacology"
digoxin,verapamil,high,"Increased digoxin levels","Clinical Pharmacology"
theophylline,ciprofloxacin,high,"CYP1A2 inhibition increases theophylline levels","FDA"
theophylline,erythromycin,high,"CYP3A4 inhibition increases theophylline levels","Clinical Pharmacology"
phenytoin,valproic_acid,high,"Displacement from protein binding, toxicity","Clinical Pharmacology"
carbamazepine,warfarin,high,"Enzyme induction reduces warfarin levels","Clinical Pharmacology"
rifampin,oral_contraceptives,critical,"Enzyme induction causes contraceptive failure","FDA"
rifampin,warfarin,critical,"Enzyme induction reduces warfarin levels","FDA"
